Deal date,Status,Product,Purchase value,Discount,Purchase price,New business,Gross revenue,Claim count,Reinvestment,Setup fee,Other fee,Adjustments,Release amount,Paid by insurance,Denied by insurance,Received insurance response,Pending insurance response,Expected total,Provisions,Expected till date,Collected till date,Collected till date by owner,Expected IRR,Actual IRR
7-Apr-22,Completed,claim,20711.97,0.05,19676.37,19676.37,1035.6,30,0,0,0,0,19676.37,20711.97,0,20711.97,0,20310.18,401.79,20310.18,20711.97,20711.97,0.14,0.15
7-Apr-22,Completed,claim,110278.22,0.05,104764.31,9152.97,5513.91,231,0,0,0,0,104764.31,107703.32,2574.9,110278.22,0,108156.92,2121.3,108156.92,110278.22,110278.22,0.16,0.53
7-Apr-22,Completed,claim,50431.62,0.05,47910.04,4177.11,2521.58,76,0,0,0,0,47910.04,50431.62,0,50431.62,0,49454.06,977.56,49454.06,50431.62,50431.62,0.14,0.22
14-Apr-22,Completed,claim,31546.77,0.1,28413.69,0,3133.08,45,28414,0,0,0,-0.31,31469.5,77.27,31546.77,0,30779.89,766.88,30779.89,31546.77,31546.77,0.41,0.66
14-Apr-22,Completed,claim,121584.07,0.07,113073.19,113073.19,8510.88,206,0,4500,0,0,108573.19,102232.79,19351.28,121584.07,0,118860.59,2723.48,118860.59,121584.07,121584.07,0.31,0.5
15-Apr-22,Completed,claim,35773.35,0.08,32910.06,0,2863.29,220,32910,0,0,0,0.06,35032.91,740.44,35773.35,0,34828.56,944.79,34828.56,35773.35,35773.35,0.3,0.16
18-Apr-22,Completed,claim,117218.97,0.07,108550.62,0,8668.35,300,108551,0,0,0,-0.38,107581.03,9637.94,117218.97,0,114395.07,2823.9,114395.07,117218.97,117218.97,0.3,0.43
18-Apr-22,Completed,claim,201571.76,0.06,188482.15,188482.15,13089.61,630,15293,4500,0,0,168689.15,195848.56,5723.2,201571.76,0,197266.32,4305.44,197266.32,201571.76,201571.76,0.28,0.32
28-Apr-22,Completed,claim,5098.88,0.09,4629.76,1397.5,469.12,155,3410,0,0,0,1219.76,3196.52,1902.36,5098.88,0,4926.8,172.08,4926.8,5098.88,5098.88,0.26,0.2
28-Apr-22,Completed,claim,3085.14,0.09,2796.47,0,288.67,109,0,0,0,0,2796.47,2961.71,123.43,3085.14,0,2978.18,106.96,2978.18,3085.14,3085.14,0.26,1.42
28-Apr-22,Completed,claim,6742.02,0.09,6101.53,0,640.49,168,0,0,0,0,6101.53,3946.34,2795.68,6742.02,0,6523.28,218.74,6523.28,6742.02,6742.02,0.26,0.22
29-Apr-22,Completed,claim,94259.04,0.07,87941.28,0,6317.76,229,87941,0,0,0,0.28,69186,25073.04,94259.04,0,92077.26,2181.78,92077.26,94259.04,94259.04,0.27,0.34
10-May-22,Completed,claim,325737.59,0.05,309450.71,41178.89,16286.88,685,0,0,0,0,309450.71,323065.71,2671.88,325737.59,0,319440.89,6296.7,319440.89,325737.59,325737.59,0.13,0.28
10-May-22,Completed,claim,17483.36,0.05,16609.19,9806.99,874.17,24,0,0,0,0,16609.19,12743.36,4740,17483.36,0,17146.19,337.17,17146.19,17483.36,17483.36,0.1,0.11
10-May-22,Completed,claim,129960.68,0.05,123462.65,33395.55,6498.03,226,0,0,0,0,123462.65,123679.36,6281.32,129960.68,0,127450.61,2510.07,127450.61,129960.68,129960.68,0.12,0.19
10-May-22,Completed,claim,18306.05,0.05,17390.75,164.16,915.3,24,0,0,0,0,17390.75,18306.05,0,18306.05,0,17951.06,354.99,17951.06,18306.05,18306.05,0.14,0.23
10-May-22,Completed,claim,37270.68,0.05,35407.15,22895.57,1863.53,48,0,0,0,0,35407.15,36920.68,350,37270.68,0,36558.87,711.81,36558.87,37270.68,37270.68,0.1,0.14
10-May-22,Completed,claim,104827.5,0.09,95393.03,0,9434.47,963,17916,0,0,0,77477.03,101353.95,3473.55,104827.5,0,102211.32,2616.18,102211.32,104827.5,104827.5,0.5,2.19
11-May-22,Completed,claim,299432.79,0.06,281466.82,0,17965.97,391,34843,0,0,0,246623.82,295794.26,3638.53,299432.79,0,291907.35,7525.44,291907.35,299432.79,299432.79,0.19,0.6
11-May-22,Completed,claim,51490.04,0.06,48143.19,5946.6,3346.85,263,0,0,0,0,48143.19,49090.64,2399.4,51490.04,0,50418.24,1071.8,50418.24,51490.04,51490.04,0.24,0.58
15-May-22,Completed,claim,141100,0.14,121346,0,19754,376,121346,0,0,0,0,138650,2450,141100,0,138278,2822,138278,141100,141100,0.18,0.5
18-May-22,Completed,claim,50485.93,0.09,45858.53,0,4627.4,73,45858,0,0,0,0.53,50433.7,52.23,50485.93,0,49184.46,1301.47,49184.46,50485.93,50485.93,0.35,0.89
21-May-22,Completed,claim,50584.01,0.01,50078.17,50078.17,505.84,407,0,0,0,0,50078.17,50582.87,1.14,50584.01,0,50584.01,0,50584.01,50584.01,50584.01,0.04,0.03
26-May-22,Completed,claim,152623.49,0.05,144992.32,986.1,7631.17,308,144992,0,0,0,0.32,152256.38,367.11,152623.49,0,148440.57,4182.92,148440.57,152623.49,152623.49,0.1,0.5
26-May-22,Completed,claim,57887.09,0.05,54992.74,5710.5,2894.35,95,54993,0,0,0,-0.26,57887.09,0,57887.09,0,56200.16,1686.93,56200.16,57887.09,57887.09,0.08,0.23
26-May-22,Completed,claim,24692.32,0.05,23457.7,366.32,1234.62,20,23458,0,0,0,-0.3,24651.22,41.1,24692.32,0,23928.78,763.54,23928.78,24692.32,24692.32,0.08,0.24
26-May-22,Completed,claim,4701.15,0.05,4466.09,2116.79,235.06,13,4466,0,0,0,0.09,4701.15,0,4701.15,0,4545.39,155.76,4545.39,4701.15,4701.15,0.05,0.17
31-May-22,Completed,claim,141487.37,0.07,132029.27,0,9458.1,261,28681,0,0,0,103348.27,124845.28,16642.09,141487.37,0,138186.02,3301.35,138186.02,141487.37,141487.37,0.24,0.26
31-May-22,Completed,claim,31836.68,0.07,29600.09,0,2236.59,45,29600,0,0,0,0.09,31632.2,204.48,31836.68,0,30974.87,861.81,30974.87,31836.68,31836.68,0.21,0.54
2-Jun-22,Completed,claim,4355.1,0.05,4137.35,0,217.75,9,4137,0,0,0,0.35,4355.1,0,4355.1,0,4253.1,102,4253.1,4355.1,4355.1,0.1,0.18
2-Jun-22,Completed,claim,50446.05,0.05,47923.75,0,2522.3,68,47924,0,0,0,-0.25,50445.98,0.07,50446.05,0,48998.26,1447.79,48998.26,50446.05,50446.05,0.09,0.25
2-Jun-22,Completed,claim,4487.3,0.05,4262.93,2143.48,224.37,9,4263,0,0,0,-0.07,4487.3,0,4487.3,0,4339.08,148.22,4339.08,4487.3,4487.3,0.07,0.22
2-Jun-22,Completed,claim,150269.38,0.05,142755.91,0,7513.47,291,142756,0,0,0,-0.09,149603.72,665.66,150269.38,0,146146.72,4122.66,146146.72,150269.38,150269.38,0.09,0.7
6-Jun-22,Completed,claim,125426.07,0.06,117273.38,0,8152.69,1125,0,0,0,0,117273.38,120137.71,5288.36,125426.07,0,122213.15,3212.92,122213.15,125426.07,125426.07,0.24,0.52
7-Jun-22,Completed,claim,40784.65,0.06,38541.49,38541.49,2243.16,332,0,0,0,0,38541.49,40784.65,0,40784.65,0,39858.84,925.81,39858.84,40784.65,40784.65,0.2,0.47
9-Jun-22,Completed,claim,402171.04,0.06,378040.78,0,24130.26,600,0,0,0,0,378040.78,393822.24,8348.8,402171.04,0,392736.86,9434.18,392736.86,402171.04,402171.04,0.19,0.73
10-Jun-22,Completed,claim,84821.64,0.07,79308.23,21564.84,5513.41,141,20618,0,0,0,58690.23,82711.16,2110.48,84821.64,0,83091.96,1729.68,83091.96,84821.64,84821.64,0.26,0.75
22-Jun-22,Completed,claim,94013.66,0.08,86765.7,0,7247.96,128,46766,0,0,0,39999.7,92569.8,1443.86,94013.66,0,91764,2249.66,91764,94013.66,94013.66,0.3,0.93
23-Jun-22,Completed,claim,66985.6,0.05,63636.32,63636.32,3349.28,209,0,0,0,0,63636.32,61579.94,5405.66,66985.6,0,65609.55,1376.05,65609.55,66985.6,66985.6,0.18,0.17
23-Jun-22,Completed,claim,100704.03,0.06,94158.27,0,6545.76,821,0,0,0,0,94158.27,94344.32,6359.71,100704.03,0,98161.79,2542.24,98161.79,100704.03,100704.03,0.22,0.37
23-Jun-22,Completed,claim,18819.2,0.06,17784.14,17784.14,1035.06,173,17784,0,0,0,0.14,18819.2,0,18819.2,0,18392.01,427.19,18392.01,18819.2,18819.2,0.22,0.26
30-Jun-22,Completed,claim,91626.53,0.08,84099.33,0,7527.2,486,0,0,0,0,84099.33,72194.14,19432.39,91626.53,0,88991.09,2635.44,88991.09,91626.53,91626.53,0.26,0.27
5-Jul-22,Completed,claim,250229.77,0.07,231642.31,56863.9,18587.46,625,0,0,0,12000,219642.31,239289.79,10939.98,250229.77,0,244169.78,6059.99,244169.78,250229.77,250229.77,0.23,0.45
5-Jul-22,Completed,claim,51208.5,0.05,48648.07,48648.08,2560.43,593,0,0,0,0,48648.07,51075.52,132.98,51208.5,0,50178.93,1029.57,50178.93,51208.5,51208.5,0.24,0.49
5-Jul-22,Completed,claim,61177.76,0.06,57201.21,0,3976.55,484,0,0,0,0,57201.21,58526.91,2650.85,61177.76,0,59697.41,1480.35,59697.41,61177.76,61177.76,0.24,0.48
5-Jul-22,Completed,claim,12208.3,0.06,11536.84,11536.84,671.46,121,7707,0,0,0,3829.84,12208.3,0,12208.3,0,11926.29,282.01,11926.29,12208.3,12208.3,0.21,0.31
6-Jul-22,Completed,claim,336071.15,0.05,319267.59,6132.25,16803.56,679,319268,0,0,0,-0.41,333578.02,2493.13,336071.15,0,327286.99,8784.16,327286.99,336071.15,336071.15,0.1,0.51
6-Jul-22,Completed,claim,13625.56,0.05,12944.28,0,681.28,23,12944,0,0,0,0.28,13454.56,171,13625.56,0,13131.91,493.65,13131.91,13625.56,13625.56,0.04,0.18
6-Jul-22,Completed,claim,84833.89,0.05,80592.2,6938.51,4241.69,134,80592,0,0,0,0.2,83945.35,888.54,84833.89,0,82204.54,2629.35,82204.54,84833.89,84833.89,0.06,0.27
6-Jul-22,Completed,claim,42624.17,0.05,40492.96,0,2131.21,45,40493,0,0,0,-0.04,42526.17,98,42624.17,0,41348.32,1275.85,41348.32,42624.17,42624.17,0.07,0.2
6-Jul-22,Completed,claim,10282.87,0.05,9768.73,2287.84,514.14,25,9769,0,0,0,-0.27,10282.87,0,10282.87,0,9912.97,369.9,9912.97,10282.87,10282.87,0.04,0.19
7-Jul-22,Completed,claim,10313.99,0.09,9409.42,903.23,904.57,372,0,0,0,0,9409.42,8959.08,1354.91,10313.99,0,10134.32,179.67,10134.32,10313.99,10313.99,0.22,7.59
7-Jul-22,Completed,claim,4098.27,0.09,3743.17,305.73,355.1,149,0,0,0,0,3743.17,3383.72,714.55,4098.27,0,4026.87,71.4,4026.87,4098.27,4098.27,0.23,0.43
12-Jul-22,Completed,claim,67291.09,0.08,61632.21,0,5658.88,96,51507,0,0,0,10125.21,63915.82,3375.27,67291.09,0,64869.03,2422.06,64869.03,67291.09,67291.09,0.25,0.73
13-Jul-22,Completed,claim,125521.53,0.07,117362.63,0,8158.9,299,0,0,0,0,117362.63,121013.89,4507.64,125521.53,0,122373.62,3147.91,122373.62,125521.53,125521.53,0.25,0.56
14-Jul-22,Completed,claim,82095.55,0.05,77990.77,0,4104.78,150,0,0,0,0,77990.77,80515.55,1580,82095.55,0,79579.73,2515.82,79579.73,82095.55,82095.55,0.09,0.36
14-Jul-22,Completed,claim,20122.71,0.05,19116.57,0,1006.14,20,0,0,0,0,19116.57,20122.71,0,20122.71,0,19549.13,573.58,19549.13,20122.71,20122.71,0.09,0.32
14-Jul-22,Completed,claim,4076.5,0.05,3872.68,0,203.82,8,0,0,0,0,3872.68,4076.5,0,4076.5,0,3983.56,92.94,3983.56,4076.5,4076.5,0.11,0.28
19-Jul-22,Completed,claim,583636.75,0.06,548618.55,104453.21,35018.2,864,46100,0,0,0,502518.55,574642.1,8994.65,583636.75,0,570950.55,12686.2,570950.55,583636.75,583636.75,0.18,0.73
19-Jul-22,Completed,claim,57512.89,0.08,53146.12,53146.11,4366.77,163,0,5500,0,0,47646.12,51406.43,6106.46,57512.89,0,56218.07,1294.82,56218.07,57512.89,57512.89,0.23,0.44
25-Jul-22,Completed,claim,32626.57,0.07,30226.49,0,2400.08,45,0,0,0,0,30226.49,31143.9,1482.67,32626.57,0,31993.46,633.11,31993.46,32626.57,32626.57,0.28,0.53
26-Jul-22,Completed,claim,175205.7,0.05,166445.42,0,8760.28,333,0,0,0,0,166445.42,172871.98,2333.72,175205.7,0,172669.73,2535.97,172669.73,175205.7,175205.7,0.18,0.34
26-Jul-22,Completed,claim,2916,0.05,2770.2,0,145.8,5,0,0,0,0,2770.2,2916,0,2916,0,2873.58,42.42,2873.58,2916,2916,0.16,0.33
26-Jul-22,Completed,claim,40165.14,0.05,38156.88,0,2008.26,62,0,0,0,0,38156.88,40164.85,0.29,40165.14,0,39583.09,582.05,39583.09,40165.14,40165.14,0.17,0.51
27-Jul-22,Completed,claim,120470.47,0.06,112639.89,0,7830.58,949,0,0,0,0,112639.89,105058.77,15411.7,120470.47,0,117726.09,2744.38,117726.09,120470.47,120470.47,0.26,0.57
27-Jul-22,Completed,claim,21635.62,0.06,20445.66,0,1189.96,211,0,0,0,0,20445.66,21635.62,0,21635.62,0,21138,497.62,21138,21635.62,21635.62,0.21,0.21
27-Jul-22,Completed,claim,58314.01,0.05,55398.31,55398.31,2915.7,624,23648.07,0,0,0,31750.24,58200.96,113.05,58314.01,0,57135.92,1178.09,57135.92,58314.01,58314.01,0.24,14.88
27-Jul-22,Completed,claim,38658.81,0.05,36725.87,1862.95,1932.94,57,0,0,0,0,36725.87,38279.6,379.21,38658.81,0,38097.6,561.21,38097.6,38658.81,38658.81,0.16,0.27
