ID,Reference,Deal date,Status,Product,Provider,Group,Purchase value,Discount,Purchase price,New business,Gross revenue,Claim count,Reinvestment,Setup fee,Other fee,Adjustments,Release amount,Paid by insurance,Denied by insurance,Received insurance response,Pending insurance response,Expected collection days,Expected total,Provisions,Expected till date,Collection days so far,Collected till date,Collected till date by owner,Expected IRR,Actual IRR,Actual IRR for owner,VAT on purchased assets,VAT on fees,Owner,Released from,FundStatus,AccountManager,SalesManager,Expected in 30 days,Expected in 60 days,Expected in 90 days,Expected in 120 days,Expected in 150 days,Expected in 180 days,Expected in 210 days,Expected in 240 days,Expected in 270 days,Expected in 300 days,Expected in 330 days,Expected in 360 days,Expected in 390 days,Actual in 30 days,Actual in 60 days,Actual in 90 days,Actual in 120 days,Actual in 150 days,Actual in 180 days,Actual in 210 days,Actual in 240 days,Actual in 270 days,Actual in 300 days,Actual in 330 days,Actual in 360 days,Actual in 390 days
619b9d503cd28c466f20f800,2109/000011/DCDC/0006,13 Sep 2021,Completed,claim,DCDC,DCDC,21593,0.12,19001.84,19001.84,2591.16,24,0,0,0,0,19001.84,21593,0,21593,0,48,21126.59,466.41,21126.59,83,21593,21593,1.26,0.77,0.77,0,0,KKTL,KKTL,Completed,Sami Herbawi,Karim Dakki,10474.76,20340.61,20565.17,20565.17,20902.02,21126.59,21126.59,21126.59,21126.59,21126.59,21126.59,21126.59,21126.59,0,0,13842,19302,21593,21593,21593,21593,21593,21593,21593,21593,21593
619b9d803cd28c466f20f80b,2110/000012/ALAFDAL/0006,24 Oct 2021,Completed,claim,ALAFDAL,ALAFDAL,2680.8,0.08,2466.34,2466.34,214.46,6,0,0,0,0,2466.34,2680.8,0,2680.8,0,75,2596.62,84.18,2596.62,173,2680.8,2680.8,0.29,0.19,0.19,0,0,KKTL,KKTL,Completed,Sami Herbawi,Ashly Jacob,484.96,1757.8,2239.81,2239.81,2404.68,2596.63,2596.63,2596.63,2596.63,2596.63,2596.63,2596.63,2596.63,0,0,0,0,0,2680.8,2680.8,2680.8,2680.8,2680.8,2680.8,2680.8,2680.8
619b9d973cd28c466f20f811,2110/000013/ALAFDAL/0007,24 Oct 2021,Completed,claim,ALAFDAL,ALAFDAL,14273.33,0.08,13131.46,13131.46,1141.87,96,0,0,0,0,13131.46,14180.95,92.38,14273.33,0,68,13930.77,342.56,13930.77,200,14273.33,14273.33,0.38,0.16,0.16,0,0,KKTL,KKTL,Completed,Sami Herbawi,Ashly Jacob,4179.23,9892.84,12046.69,12855.99,13329.87,13808.03,13860.84,13885.1,13907.94,13923.64,13926.49,13930.77,13930.77,0,0,0,0,0,2595.39,13067.75,13067.75,14246.95,14246.95,14273.33,14273.33,14273.33
619b9dc53cd28c466f20f817,2110/000014/ALAFDAL/0008,24 Oct 2021,Completed,claim,ALAFDAL,ALAFDAL,3882.5,0.08,3571.9,3571.9,310.6,13,0,0,0,0,3571.9,3882.5,0,3882.5,0,79,3799.41,83.09,3799.41,215,3882.5,3882.5,0.33,0.15,0.15,0,0,KKTL,KKTL,Completed,Sami Herbawi,Ashly Jacob,778.83,2155.56,2716.19,3321.08,3758.64,3799.41,3799.41,3799.41,3799.41,3799.41,3799.41,3799.41,3799.41,0,0,0,0,0,0,0,3882.5,3882.5,3882.5,3882.5,3882.5,3882.5
619b9de13cd28c466f20f81d,2110/000015/DCDC/0007,09 Nov 2021,Completed,claim,DCDC,DCDC,48455.05,0.12,42640.44,42640.44,5814.61,32,0,0,0,0,42640.44,44728.05,3727,48455.05,0,54,47112.85,1342.2,47112.85,86,48455.05,48455.05,1,0.72,0.72,0,0,KKTL,KKTL,Completed,Sami Herbawi,Karim Dakki,21911.37,43813.06,43813.06,43813.06,44888.76,47112.85,47112.85,47112.85,47112.85,47112.85,47112.85,47112.85,47112.85,0,0,48455.05,48455.05,48455.05,48455.05,48455.05,48455.05,48455.05,48455.05,48455.05,48455.05,48455.05
619b9df43cd28c466f20f823,2110/000016/DCDC/0008,09 Nov 2021,Completed,claim,DCDC,DCDC,54238,0.12,47729.44,0,6508.56,73,0,0,0,0,47729.44,37098,17140,54238,0,57,53055.61,1182.39,53055.61,79,54238,54238,0.99,0.81,0.81,0,0,KKTL,KKTL,Completed,Sami Herbawi,Karim Dakki,24217.27,39745.61,50181,50962.02,52252.89,53055.61,53055.61,53055.61,53055.61,53055.61,53055.61,53055.61,53055.61,990,1376.2,54238,54238,54238,54238,54238,54238,54238,54238,54238,54238,54238
619b9e083cd28c466f20f829,2110/000017/DCDC/0009,09 Nov 2021,Completed,claim,DCDC,DCDC,94872.4,0.12,83487.71,83487.71,11384.69,182,0,0,0,0,83487.71,86498.18,8374.22,94872.4,0,78,92377.26,2495.14,92377.26,76,94872.4,94872.4,0.62,0.87,0.87,0,0,KKTL,KKTL,Completed,Sami Herbawi,Karim Dakki,26801.45,54523.17,72672.26,79332.3,84768.49,90878.27,91627.77,92016.74,92320.33,92339.31,92348.8,92377.26,92377.26,16803.38,17659.04,75748.28,94872.4,94872.4,94872.4,94872.4,94872.4,94872.4,94872.4,94872.4,94872.4,94872.4
619b9e1a3cd28c466f20f82f,2110/000018/DCDC/0010,09 Nov 2021,Completed,claim,DCDC,DCDC,256809.9,0.12,225992.71,225992.71,30817.19,325,0,0,0,0,225992.71,236537.74,20272.16,256809.9,0,83,251083.05,5726.85,251083.05,85,256809.9,256809.9,0.6,0.74,0.74,0,0,KKTL,KKTL,Completed,Sami Herbawi,Karim Dakki,75348.03,136083.57,172011.27,202777.1,231822.3,247128.17,249978.77,251083.05,251083.05,251083.05,251083.05,251083.05,251083.05,5194.5,11142,234799.78,256809.9,256809.9,256809.9,256809.9,256809.9,256809.9,256809.9,256809.9,256809.9,256809.9
619e6283b7d9a7f5d2bc7e9c,2111/000019/LIFEWORKS/0001,25 Nov 2021,Completed,claim,LIFEWORKS,LIFEWORKS,89142.03,0.08,82314.45,82314.45,6827.58,135,0,3000,0,0,79314.45,84134.03,5008,89142.03,0,81,87217.82,1924.21,87217.82,99,89142.03,88956.11,0.3,0.99,12.65,0,0,KKTL,KKTL,Completed,Sami Herbawi,Muhammad Adnan,26762.63,52311.35,62870.47,71684.83,80412.61,83478.66,85848.49,86326.28,86696.19,87062.97,87177.93,87217.81,87217.81,0,26865.37,50986.57,77893.37,89453.78,91703.78,93361.03,93361.03,93361.03,95943.03,98519.03,98519.03,98519.03
61af259b5cce6695c4417d78,2112/000020/TRANSFORM/0001,07 Dec 2021,Completed,claim,TRANSFORM,TRANSFORM,269540.44,0.08,249186.49,249186.48,20353.95,582,0,3500,0,7500,238186.49,232075.7,37464.74,269540.44,0,79,262690.11,6850.33,262690.11,154,269540.44,269540.44,0.28,0.2,0.2,0,0,KKTL,KKTL,Completed,Sami Herbawi,Said A S,102857.98,161661.2,189525.57,205892.23,231338.84,254005.38,261571.53,262219.29,262540.17,262690.12,262690.12,262690.12,262690.12,0,0,1851.89,13668.4,175244.18,223458.12,248753.52,267946.74,267946.74,269540.44,269540.44,269540.44,269540.44
61af6f7dccd5bb913d616e28,2112/000021/ZFFRULLA/0001,07 Dec 2021,Completed,claim,ZFFRULLA,AL YAMAMAH GROUP,8645.42,0.11,7737.65,7737.65,907.77,302,0,0,0,0,7737.65,8222.1,423.32,8645.42,0,101,8324.69,320.73,8324.69,190,8645.42,8645.42,0.31,0.24,0.24,0,0,KKTL,KKTL,Completed,Sami Herbawi,Muhammad Adnan,1474.91,3472,5308.28,6129.6,6913.74,7928.71,7986.64,8042.84,8098.17,8154.37,8224.4,8324.69,8324.69,0,0,0,1694.23,1694.23,1694.23,7243.67,7243.67,7326.17,8372.17,8372.17,8372.17,8645.42
61af6f8bccd5bb913d616e30,2112/000022/ALBANNA/0001,07 Dec 2021,Completed,claim,ALBANNA,AL YAMAMAH GROUP,6304.4,0.1,5642.44,5642.44,661.96,279,0,0,0,0,5642.44,4995.2,1309.2,6304.4,0,97,6021.33,283.07,6021.33,253,6304.4,6304.4,0.28,0.18,0.18,0,0,KKTL,KKTL,Completed,Sami Herbawi,Muhammad Adnan,1050.94,2490.24,4053.1,4815.93,4940.13,5847.96,5863.09,5873.18,5895.24,5929.29,5966.48,6021.33,6021.33,0,0,0,1819.6,1819.6,1819.6,3222.2,3222.2,3222.2,3222.2,3222.2,3222.2,6304.4
61af6f98ccd5bb913d616e38,2112/000023/ALYAMAMAH/0001,07 Dec 2021,Completed,claim,ALYAMAMAH,AL YAMAMAH GROUP,10972.27,0.11,9820.18,9820.18,1152.09,448,0,3500,0,0,6320.18,10604.19,368.08,10972.27,0,98,10511.44,460.83,10511.44,218,10972.27,10972.27,0.29,0.21,0.21,0,0,KKTL,KKTL,Completed,Sami Herbawi,Muhammad Adnan,1752.27,4433.89,6738.07,7537.95,8818.42,10327.11,10343.57,10372.1,10406.12,10444.52,10477.44,10511.46,10511.46,0,0,0,0,0,0,9260.33,9260.33,9260.33,9260.33,9260.33,9260.33,9982.82
61b8899795b7c363e17d0f57,2112/000024/LIFEWORKS/0002,14 Dec 2021,Completed,claim,LIFEWORKS,LIFEWORKS,114506.23,0.08,105893.48,105893.48,8612.75,172,0,0,0,0,105893.48,107317.83,7188.4,114506.23,0,79,112041.98,2464.25,112041.98,82,114506.23,114506.23,0.3,0.42,0.42,0,0,KKTL,KKTL,Completed,Sami Herbawi,Muhammad Adnan,34852.45,69607.85,82610.78,93436.85,103786.41,107649.64,110581.98,111428.98,111687.13,111895.35,111986.71,112041.95,112041.95,24571.08,27131.08,73896.33,90801.93,106253.73,110402.23,114506.23,114506.23,114506.23,114506.23,114506.23,114506.23,114506.23
61cc4bf90795177a4ada2202,2112/000026/LIFEWORKS/0003,29 Dec 2021,Completed,claim,LIFEWORKS,LIFEWORKS,102256.24,0.08,94479.56,0,7776.68,167,44480,0,0,0,49999.56,96686.59,5569.65,102256.24,0,80,99964.75,2291.49,99964.75,86,102256.24,102256.24,0.3,0.4,0.4,0,0,KKTL,KKTL,Completed,Sami Herbawi,Muhammad Adnan,32336.66,62153.31,73956.46,83263.31,91592.48,95575.93,97937.15,98827.29,99266.63,99678.93,99840.18,99964.74,99964.74,2552.55,22320,68845.6,78501.4,101709.04,102256.24,102256.24,102256.24,102256.24,102256.24,102256.24,102256.24,102256.24
61d44a047f36e9dc8e21b054,2201/000027/LIFEWORKS/0004,04 Jan 2022,Completed,claim,LIFEWORKS,LIFEWORKS,56844.13,0.07,52625.43,509.6,4218.7,89,0,0,0,0,52625.43,50854.6,5989.53,56844.13,0,76,55650.28,1193.85,55650.28,82,56844.13,56844.13,0.31,0.41,0.41,0,0,KKTL,KKTL,Completed,Sami Herbawi,Muhammad Adnan,18493.96,35877.95,42001.94,47771.57,51835.41,53725.9,54936.16,55287.94,55426.38,55557.3,55609.37,55650.3,55650.3,2840,10557.37,38824.53,50384.13,55400.13,56844.13,56844.13,56844.13,56844.13,56844.13,56844.13,56844.13,56844.13
61dc31578da7a2fb9e254f86,2201/000028/OPENMINDS/0001,10 Jan 2022,Completed,claim,OPENMINDS,OPENMINDS,392427.67,0.08,362995.59,362995.59,29432.08,464,0,0,0,0,362995.59,346143.4,46284.27,392427.67,0,72,382263.79,10163.88,382263.79,54,392427.67,391687.57,0.31,0.7,13.35,0,0,KKTL,KKTL,Completed,Sami Herbawi,Ashly Jacob,158266.08,268891.44,304209.93,315708.06,343099.51,364408.33,375435.55,381361.21,382263.79,382263.79,382263.79,382263.79,382263.79,0,325325.5,385839.67,387126.07,392427.67,392427.67,392427.67,392427.67,392427.67,392427.67,392427.67,392427.67,392427.67
61e01af6ce99725d14c1567a,2201/000029/LIFEWORKS/0005,13 Jan 2022,Completed,claim,LIFEWORKS,LIFEWORKS,18695.9,0.07,17365.44,509.6,1330.46,30,17365,0,0,0,0.44,18692.9,3,18695.9,0,69,18281.99,413.91,18281.99,85,18695.9,18695.9,0.32,0.37,0.37,0,0,KKTL,KKTL,Completed,Sami Herbawi,Muhammad Adnan,6651.46,13033.98,14824.18,16235.25,17340.63,17981.37,18237.77,18282.01,18282.01,18282.01,18282.01,18282.01,18282.01,560,2840,12201.9,17831.9,18695.9,18695.9,18695.9,18695.9,18695.9,18695.9,18695.9,18695.9,18695.9
61e7bdf5d0bb207435d66a0b,2201/000030/ALAFDAL/0009,19 Jan 2022,Completed,claim,ALAFDAL,ALAFDAL,76660.68,0.08,70527.83,5907.32,6132.85,448,70527.83,0,0,0,0,72845.35,3815.33,76660.68,0,81,74620.92,2039.76,74620.92,164,76660.68,76660.68,0.29,0.2,0.2,0,0,KKTL,KKTL,Completed,Sami Herbawi,Ashly Jacob,18940.53,43374.87,54870.08,61210.81,67421.93,73357.14,74067.2,74336.18,74529.65,74560.84,74571.65,74620.92,74620.92,1483.56,1483.56,1483.56,1483.56,27418.85,57882.75,73984.55,73984.55,73984.55,74876.05,75576.89,75748.89,75748.89
61ee454f357fabfacc4da0b6,2201/000031/OPENMINDS/0002,24 Jan 2022,Completed,claim,OPENMINDS,OPENMINDS,228391.66,0.07,211262.29,211262.29,17129.37,317,0,3500,0,0,207762.29,209489.76,18901.9,228391.66,0,74,222877.48,5514.18,222877.48,55,228391.66,228391.66,0.31,0.72,0.74,0,0,KKTL,KKTL,Completed,Sami Herbawi,Ashly Jacob,79960.89,151548.13,171294.45,187771.31,205668.26,216572.51,219230.97,220696.86,221799.65,222106.31,222471.6,222877.48,222877.48,0,134686.66,220261.94,223331.54,223331.54,223331.54,223331.54,223331.54,223976.66,223976.66,223976.66,223976.66,223976.66
61ee4705357fabfacc504388,2201/000032/TRANSFORM/0002,24 Jan 2022,Completed,claim,TRANSFORM,TRANSFORM,395351.49,0.07,366583.28,0,28768.21,856,187347.48,0,0,0,179235.8,354548.53,40802.96,395351.49,0,69,385523.26,9828.23,385523.26,98,395351.49,395131.66,0.31,0.38,5.88,0,0,KKTL,KKTL,Completed,Sami Herbawi,Said A S,162920.37,261653.75,301566.96,325027.65,362603.25,383455.64,383933.64,384214.72,384865.81,385523.25,385523.25,385523.25,385523.25,79538.8,87991.59,168853.94,243342.31,310737.17,374746.6,388398.98,388398.98,398309.43,398309.43,398975.49,398975.49,398975.49
61f9156928a9f265dbedf0db,2202/000033/ZFFRULLA/0002,01 Feb 2022,Completed,claim,ZFFRULLA,AL YAMAMAH GROUP,6114.35,0.1,5502.91,0,611.44,222,0,0,0,0,5502.91,5778.31,336.04,6114.35,0,97,5886.29,228.06,5886.29,129,6114.35,6114.35,0.29,0.36,0.36,0,0,KKTL,KKTL,Completed,Sami Herbawi,Muhammad Adnan,1180.68,2648.74,3856.32,4317.95,4959.35,5661.89,5691.85,5728.53,5768.28,5808.02,5845.93,5886.29,5886.29,0,2262.9,2262.9,2262.9,4712.74,4712.74,4712.74,5687.35,5747.35,5747.35,6114.35,6114.35,6114.35
61f9164e28a9f265dbee0bd4,2202/000034/ALYAMAMAH/0002,01 Feb 2022,Completed,claim,ALYAMAMAH,AL YAMAMAH GROUP,12782,0.1,11503.8,3085.47,1278.2,519,0,0,0,0,11503.8,11854.36,927.64,12782,0,99,12329.58,452.42,12329.58,303,12782,12782,0.3,0.14,0.14,0,0,KKTL,KKTL,Completed,Sami Herbawi,Muhammad Adnan,2389.01,5225.87,7664.95,8809.64,10324.29,11801.86,11950.88,12064.26,12144.6,12209.85,12267.84,12329.58,12329.58,0,30,30,30,3042.55,3042.55,3042.55,3042.55,3042.55,3042.55,3755.59,4015.73,12782
61f9168a28a9f265dbee4d81,2202/000035/RAHMANIAH/0001,01 Feb 2022,Completed,claim,RAHMANIAH,AL YAMAMAH GROUP,26812.74,0.1,24131.47,24131.47,2681.27,501,0,0,0,0,24131.47,4855.92,21956.82,26812.74,0,105,26003,809.74,26003,308,26812.74,26812.74,0.3,0.13,0.13,0,0,KKTL,KKTL,Completed,Sami Herbawi,Muhammad Adnan,4558.17,9180.68,13808.56,17237.91,21409.97,24560.48,25367.54,25815.31,25968.14,26003,26003,26003,26003,0,0,4855.92,4855.92,4855.92,4855.92,4855.92,4855.92,4855.92,4855.92,4855.92,4855.92,26812.74
61f916b328a9f265dbee8785,2202/000036/ALBANNA/0002,01 Feb 2022,Completed,claim,ALBANNA,AL YAMAMAH GROUP,45774.37,0.1,41196.93,37308.53,4577.44,1039,0,0,0,0,41196.93,43282.93,2491.44,45774.37,0,104,44361.31,1413.06,44361.31,161,45774.37,45774.37,0.3,0.27,0.27,0,0,KKTL,KKTL,Completed,Sami Herbawi,Muhammad Adnan,7881.45,16065.46,24073.68,29701.84,36605.31,41972.56,43241.47,43959.66,44224.03,44306.01,44332.79,44361.31,44361.31,11298.85,21104.04,21104.04,21104.04,21104.04,21104.04,21104.04,21104.04,31502.82,40407.17,45507.82,45767.96,45774.37
61fbdb3a463b61e34df93f17,2202/000037/LIFEWORKS/0006,03 Feb 2022,Completed,claim,LIFEWORKS,LIFEWORKS,45368.8,0.07,42116.02,0,3252.78,70,42116.02,0,0,0,0,42616,2752.8,45368.8,0,66,44360.85,1007.95,44360.85,67,45368.8,45368.8,0.34,0.47,0.47,0,0,KKTL,KKTL,Completed,Sami Herbawi,Muhammad Adnan,18124.42,30835.81,36264.08,39830.12,42192.33,43873.03,44310.27,44360.84,44360.84,44360.84,44360.84,44360.84,44360.84,2240,12544.02,35485.15,44821.6,45368.8,45368.8,45368.8,45368.8,45368.8,45368.8,45368.8,45368.8,45368.8
620e1f19fe416e7866bbe37f,2202/000038/ALAFDAL/0010,17 Feb 2022,Completed,claim,ALAFDAL,ALAFDAL,64721,0.11,57631.78,35668.93,7089.22,689,33216,0,0,0,24415.78,59162.61,5558.39,64721,0,107,62120.66,2600.34,62120.66,183,64721,64721,0.3,0.26,0.21,0,0,KKTL,KKTL,Completed,Sami Herbawi,Ashly Jacob,14511.92,29360.66,37668.05,41194.21,47088.89,56513.54,57436.75,58427.91,59417.54,60355.41,61180.64,62120.65,62120.65,21281.46,21281.46,21281.46,26966.8,31014.55,44059.69,44095.69,44095.69,44095.69,44095.69,44095.69,47420.69,50473.33
6215d96b8ff223a1d00547f3,2202/000039/LIFEWORKS/0007,23 Feb 2022,Completed,claim,LIFEWORKS,LIFEWORKS,97231.28,0.07,89962.76,0,7268.52,155,40000,0,0,0,49962.76,91261.81,5969.47,97231.28,0,76,95065.21,2166.07,95065.21,73,97231.28,97231.28,0.31,0.48,0.48,0,0,KKTL,KKTL,Completed,Sami Herbawi,Muhammad Adnan,30825.54,62196.39,74829.42,81320.69,88457.72,91815.66,93381.99,94151.83,94494.46,94867.82,94964.65,95065.2,95065.2,760,47369.46,71558.81,90895.97,95987.28,95987.28,95987.28,97231.28,97231.28,97231.28,97231.28,97231.28,97231.28
621731d1754e644b8df25672,2202/000040/OPENMINDS/0003,24 Feb 2022,Completed,claim,OPENMINDS,OPENMINDS,327864.34,0.06,308192.48,0,19671.86,469,308192.48,0,0,0,0,291462.48,36401.86,327864.34,0,75,319887,7977.34,319887,44,327864.34,327864.34,0.2,0.68,0.69,0,0,KKTL,KKTL,Completed,Sami Herbawi,Ashly Jacob,111140.79,210988.39,245123.56,268342.14,294649.48,309606.69,315112.31,318502.35,319281.36,319403.51,319632.54,319887.01,319887.01,2914,319106.34,321835.14,322960.74,322960.74,324663.94,324663.94,325467.94,326031.14,326594.34,326594.34,326594.34,327044.34
6217527ccb89a66ea41a4ec7,2202/000041/INFINTI/0001,24 Feb 2022,Completed,claim,INFINTI,INFINTI,263454.64,0.06,246330.09,246330.09,17124.55,2429,0,5000,0,0,241330.09,248011.96,15442.68,263454.64,0,62,256857.06,6597.58,256857.06,125,263454.64,263454.64,0.28,0.22,0.22,0,0,KKTL,KKTL,Completed,Sami Herbawi,Muhammad Adnan,100111.81,196274.27,227892.69,234812.34,247387.81,256548.06,256667.33,256792.58,256828.13,256847.43,256854.54,256857.08,256857.08,0,4635.14,19118.57,155782.49,204136.96,252661.48,252661.48,254358.57,254358.57,259869.38,259869.38,263038.55,263038.55
621e17296a0dd551e5602b0b,2203/000042/LIFEWORKS/0008,01 Mar 2022,Completed,claim,LIFEWORKS,LIFEWORKS,20810.2,0.07,19274.92,0,1535.28,31,0,0,0,0,19274.92,19482.2,1328,20810.2,0,71,20310.72,499.48,20310.72,74,20810.2,20810.2,0.31,0.36,0.36,0,0,KKTL,KKTL,Completed,Sami Herbawi,Muhammad Adnan,6549.04,13983.18,16461.63,17819.8,19032.29,19896.17,20177.82,20248.88,20272.89,20297.03,20303.8,20310.7,20310.7,2800,5087,12464.3,18750.2,18750.2,19650.2,19650.2,20810.2,20810.2,20810.2,20810.2,20810.2,20810.2
